context,question,answer,source_doc,groundedness_score,relevance_score
"xiv Preface
OUTCOMES
   •   Use the database modeling template in Microsoft Visio  
  •   Create entities and add attributes    •   Determine the appropriate relationship between entities    •   Resolve many-to-many relationships with a linking table     
Chapter 5: Normalization and Design Review 
NARRATIVE  Now, with the help of an instructor, Sharon checks to make sure the data-
base conforms to the rules of normalization. She reviews the database thus far with her supervisor.
OUTCOMES
   •   Evaluate entities against first three normal forms    •   Adjust the relational diagram to reflect normalization     
Chapter 6: Physical Design 
NARRATIVE  Sharon builds a prototype of the database, creating all the tables and setting 
up the relationships. When she has it set up, she enters 5 or 10 rows of sample data so she can test the database.  
OUTCOMES
   •   Implement a physical design of the database based on the logical ERDs    •   Choose appropriate data types for columns    •   Enter sample data into tables     
Chapter 7: SQL 
NARRATIVE  Sharon writes some SQL queries to see if she can get the needed information 
out of the database. She tests for database requirements.  
OUTCOMES
   •   Name the main events in the development of SQL    •   Run SELECT queries with a variety of criteria    •   Join two or more tables in a query    •   Use the aggregate functions COUNT, AVG, SUM, MIN, and MAX    •   INSERT, UPDATE, and DELETE records    •   Use SQL to test business rules     
Chapter 8: Is it Secure? 
NARRATIVE  In this chapter, Sharon looks at the security needs of the database. It is im-
portant to give everyone the access that they require to do the things they need to do. But it is also important to protect the database objects and data from either accidental or intentional damage. Sharon discovers that security is complex and requires careful planning.
OUTCOMES","What are the main events in the development of SQL?
","The main events in the development of SQL include the creation of SQL-86, SQL-89, SQL-92, SQL:1999, SQL:2003, SQL:2006, SQL:2008, SQL:2011, and SQL:2016. These versions introduced various features and improvements to the SQL language, such as support for object-oriented programming, XML data, and temporal data",databases/db2.pdf,3,5
"OUTCOMES
   •   Analyze security needs and restrictions for users of the database    •   Analyze threats to database integrity    •   Understand the concepts of authentication and authorization    •   Create logins and users    •   Create roles","What are the responsibilities of someone analyzing security needs for a database?
","The responsibilities of someone analyzing security needs for a database include understanding security concepts such as authentication and authorization, creating logins and users, and creating roles. They must also analyze potential threats to database integrity and determine appropriate security measures to protect the database",databases/db2.pdf,5,5
"1OVERVIEW OF RELATIONAL DATABASES AND THEIR USES 
This chapter introduces Sharon, a college student who is working toward a degree in Database Development 
and Administration. She signs up to become a tutor and realizes that the tutoring program is in desperate need of a database to track tutoring sessions. She volunteers to develop it and after some discussions defines a statement of work for the database. 
  CHAPTER OUTCOMES 
 By the end of this chapter you will be able to: 
/H17039   Define relational databases  
/H17039   Understand the position of relational databases in the history of databases  
/H17039   Identify major relational database management systems  
/H17039   Identify main characteristics of relational databases  
/H17039   Understand SQL’s role in relational database  
/H17039   Recognize some indications of where a database could be useful  
/H17039   Define a statement of work for a given database scenario    
THE SITUATION 
 Sharon is a student taking database classes. She is near the end of her program and has done quite well. Like any 
student, she could really use some extra money and has decided to inquire about tutoring. She has noticed that many students seem to struggle with relational database concepts, particularly in the early classes, and she is fairly sure there would be a demand for her services.   
 The administrator of the tutoring program at the college is named Terry 
Lee. Terry invites Sharon into her office and offers her a seat. She smiles. 
 “So you want to tutor?”  “Yes. I think I would be good at it.”  “What subjects do you think you could tutor?”  “I was thinking especially of database-related topics. I can do relational 
design and SQL [Structured Query Language]. I think I can tutor Microsoft Access, SQL Server, and even other database management systems. I can also do some database programming.”   
 Terry nods. “That’s good. We do have some requests for tutoring in those","What database-related topics can Sharon tutor in according to the passage?
","Sharon, the college student in the passage, can tutor in relational database design, SQL, Microsoft Access, SQL Server, and other database management systems, as well as database programming",databases/db2.pdf,5,4
"2 Chapter 1 • Who Needs a Database
Things You Should Know 
Databases
A database, at its simplest level, is a collection of related data. It doesn’t have to be electronic. The card 
catalogs that libraries used to have were certainly databases. A scientist’s spiral notebook where he or she keeps notes and observations could be considered a database, so too could a phone or address 
book. When we say “database,” though, we usually mean electronic databases, databases that run on 
computers. 
Flat File Databases 
The simplest form of an electronic database is the flat file database. Flat files usually consist of a file which stores data in a structured way. A common format for flat file databases is the delimited file. In a delimited file, each piece of data is separated from the next piece by some “delimiter,” often a comma 
or a tab. The end of a row is marked by the new-line character (usually invisible). It is important, if the 
file is to be read correctly, that each row contain the same number of delimiters. Another kind of flat data file is the fixed-width data file. In such files, all the columns share a fixed width in characters. These flat files can be read by a computer program and manipulated in various ways, but they have almost no protections for data integrity, and they often contain many redundant elements. 
Redundancy refers to repeating the same data more than once. It can occur in a number 
of ways. Data could be repeated over and over again in the same file. For instance, the following example shows an equipment checkout list. 
Notice how in Table 1-1 Nancy Martin’s name is repeated, and it would be repeated as many 
times as she checks out equipment. Another type of redundancy occurs when the same data is 
stored in different files. For instance, you might have a file of club members that stores Nancy’s name","What is a simple form of an electronic database?
","A simple form of an electronic database is the flat file database, which typically consists of a file that stores data in a structured way, often in the form of a delimited file where each piece of data is separated from the next piece by a delimiter such as a comma or a tab, or a fixed-width data file where all the columns share a fixed width in characters",databases/db2.pdf,5,4
"times as she checks out equipment. Another type of redundancy occurs when the same data is 
stored in different files. For instance, you might have a file of club members that stores Nancy’s name 
and address, and then a separate file for fee payments that repeats her name and address. One problem with this system is that, other than having to type in everything several times, each time you reenter the same data, there is a greater chance of mistyping it or making a mistake of some kind. Another problem occurs when you need to change her address. Say Nancy moves and she notifies 
the person at the desk in the club about her change of address. The desk clerk changes the address 
in the membership file, but fails to change it, or to notify someone in billing to change it, in the fee payment file. Now when the club sends out a bill or statement of fees, it goes to the wrong address. It is always best to enter each piece of data in one and only one place. 
Spreadsheets, such as Excel, can also be used as flat file databases. Spreadsheets offer a great deal 
more functionality than simple delimited files. Cells can be given a data type such as “numeric” or “date 
time.” This helps ensure that all the entries in a given column are of the same type. You can also define valid ranges for data (e.g., you can stipulate that a valid term grade is between the numbers 0 and 4). Spreadsheets usually contain data tools that make it possible to sort and group data. Most spreadsheets 
also contain functions that allow the user to query the data. But despite these enhancements, spread-
sheets still share many of the redundancy and data integrity problems of other flat file formats. 
Hierarchical Databases 
The most common database model before the relational model was the hierarchical database. 
Hierarchical databases are organized in a tree-like structure. In such a database, one parent table can have many child tables, but no child table can have more than one parent.","What was the most common database model before the relational model?
","The most common database model before the relational model was the hierarchical database. In such a database, one parent table can have many child tables, but no child table can have more than one parent",databases/db2.pdf,5,4
"Hierarchical databases are organized in a tree-like structure. In such a database, one parent table can have many child tables, but no child table can have more than one parent. 
This sounds abstract, and it is. One way to visualize it is to think of the Windows (or, for that 
matter, the Mac or Linux) file system. The file system has a hierarchical structure. You have a direc-
tory, under which there can be subdirectories, and in those subdirectories, there can be other subdi-
rectories or files. You navigate through them by following a path.
C:\Users\ITStudent\Documents\myfile.txt
This tree-like organization is very logical and easy to navigate, but it does present some of the 
same problems of redundancy, data integrity, and comparability of data. It is not uncommon for  DELIMITED FILES 
 These have some sort of character 
separating columns of data. The delimiter is often a comma or tab, but can be any non-alphanumeric character. In fixed length   files, the 
length in characters of each column is the same. 
 DATA INTEGRITY 
 It refers to the accuracy and the 
correctness of the data in the database.
 REDUNDANCY 
 It refers to storing the same data 
in more than one place in the database.
Table 1-1 Equipment Checkout 
Member ID  Member Name  Date Time Equipment No. 
23455 Nancy Martin  2/10/2010 4 PM  2333
45737 Taylor Smith  2/10/2010 4:15 PM  3331
23455 Nancy Martin  2/10/2010 4:45 PM  2221","How are hierarchical databases visually represented?
","Hierarchical databases are visually represented in a tree-like structure, similar to a file system in operating systems like Windows, Mac, or Linux. In this structure, one parent table can have multiple child tables, but a child table can have only one parent. This organization is logical and easy to navigate, but it can present issues such as data redundancy and data integrity",databases/db2.pdf,3,4
"Chapter 1 • Who Needs a Database 3
the same data to be repeated in more than one place in the tree. Whenever data is repeated, there 
is a risk of error and inconsistency. It can also be very difficult to compare a piece of data from one 
branch of the database with a piece from an entirely different branch of the database. 
FIGURE 1-1 Delimited Text 
Example
FIGURE 1-2 Excel Spreadsheet THINGS TO THINK ABOUT 
Hierarchical databases are still in use in many 
institutions. This is especially true of large insti-tutions such as banks and insurance companies 
that adopted database technologies early. 
These institutions invested heavily in the 
development of these databases and have com-mitted decades of data to their files. Although 
database technologies have improved, they 
are reluctant to commit the time and money and to incur the risk of redeveloping their 
databases and translating their vast stores of existing data into new formats. 
The basic philosophy is, if it still works, let well 
enough alone. Most companies are conservative about their databases, for understandable reasons. 
What do you think companies like Microsoft 
or Oracle have to do to convince companies to 
upgrade to their newest database products?","What is the reason large institutions are reluctant to switch to newer database products?
","Large institutions such as banks and insurance companies are often reluctant to switch to newer database products because they have heavily invested in the development of their existing hierarchical databases and have committed decades of data to their files. They are hesitant to incur the time, money, and risk of redeveloping their databases and translating their vast stores of existing data into new formats, even if database technologies have improved",databases/db2.pdf,5,4
"4 Chapter 1 • Who Needs a Database
Accounts
Savings
Customer 1Customer 2 Customer 3 Customer 1
Checking
FIGURE 1-3 Hierarchical
Database Model 
Relational Databases 
By far, the most popular type of database for at least the last 30 years is the relational database.  The 
idea for relational databases came from a man named Edgar F. Codd in 1970. He worked for IBM, and he wrote a paper on, at that time, a new theoretical design for databases. This design would be based on the mathematics of set theory and predicate logic. He formulated the basics of the relational design in 12 rules. The first rule, called the “information rule,” states, “All information in a relational 
database is represented explicitly at the logical level and in exactly one way—values in tables.” 
Briefly, in the relational model data would be organized into tables. Even the information about 
the tables themselves is stored in tables. These tables then define the relationships among themselves by means of repeating an attribute or column from one table in another table. These repeating 
columns would be called “keys.” He also specified that the logical design of a database should be 
separate and independent of physical design considerations such as file types, data storage, and disk writing and reading functions. He specified that there should be a “data sublanguage” that can perform all data-related tasks. SQL has evolved into this language. We will discuss it more thoroughly in a later chapter. For a discussion of Codd’s 12 rules, see Wikipedia at http://en.wikipedia.org/wiki/
Codd’s_12_rules .
This may sound complex, and it certainly can be, but it solved many of the problems that 
plagued the databases of the day. One of those problems was data redundancy. As mentioned earlier, redundancy refers to the need to store the same data in more than one place in the da-tabase.
In a relational database, the redundancy is minimized. A bank would enter the customer’s","What significant problem does a relational database minimize?
","A relational database, which is the most popular type of database, minimizes data redundancy. This is achieved by organizing data into tables, with even the information about the tables stored in tables. The relationships among tables are defined by repeating an attribute or column from one table in another table, known as 'keys'. This design significantly reduces the need to store the same data in multiple places within the database",databases/db2.pdf,5,5
"In a relational database, the redundancy is minimized. A bank would enter the customer’s 
data only once, in one place. Any changes would be made only in one place. The only redundancy allowed is the repetition of a key column (or columns) that is used to create relationships among the tables. This significantly reduces the chances of error and protects the integrity of the data in the database. 
Another problem the relational design helped solve was that of relating data from different 
parts of the database. In many of the previous database designs, a programmer had to write a rou-tine in a language like Fortran or Cobol to extract the data from various parts of the database and compare them. In a well-designed relational database, every piece of data can be compared or joined with any other piece of data. The relational design was a huge step forward in flexibility. 
The chief drawback of a relational database is the inherent complexity of the design. It is 
fairly easy to design a bad database that will not do what a client needs it to do. In a bad database design, you may find that you cannot enter the data you need to enter. This is often the result of an error in how the relationship was created. It may also not be possible to retrieve the data 
 KEYS 
 In relational databases, each table 
usually has one column designated as aprimary key  . This key uniquely 
identifies each row in the table. This primary key becomes a foreign key
when it is repeated in another table to create a link between the tables.","What is the role of a primary key in a relational database?
","In a relational database, a primary key is a column in a table that uniquely identifies each row. It serves as a unique identifier for the records in the table and is often used to create relationships with other tables by being repeated as a foreign key in those tables",databases/db2.pdf,5,5
"Chapter 1 • Who Needs a Database 5
FIGURE 1-4 SQL Server 
Relational Database Manager Showing an SQL Query and Results
Customer ID(PK) Last Name First Name Address City State
C41098X3 Carson Lewis 121 Center Street Seattle WA
CV1099B1 Madison Sarah 1324 Broadway Seattle WA
D345XU24 Brown Lisa 2201 Second Ave Seattle WA
Transaction ID Transaction Type Transaction Date Customer ID(FK) Amount
10002345 Deposit 2009-2-12 10:25:06 C41098X3 1245.76
10002346 Deposit 2009-2-12 10:27:13 CV1099B1 500.00
10002347 Withdrawal 2009-2-13 14:45:57 C41098X3 200.00FIGURE 1-5 Primary Key 
and Foreign Key Relations Between a Customer Table and a Transaction Table 
that you need. Because of the complexity of relational design, it is crucial that you follow a design 
process that clarifies both the nature of the data you wish to store and the structure of the data-base. That is what this book is designed to help you with. 
The chief advantages in a well-designed relational database are data integrity and flexibility. 
These two advantages have made it the most commonly used database model for the past 
30 years or so. 
THE OPPORTUNITY 
 They walk from Terry’s office down the hall to the computer lab. Terry stops at the 
front desk. “The computer lab is one of our designated tutoring areas, and I suspect the one where most of your sessions would be scheduled.” She picks up a clipboard containing several pieces of paper. “We have 2 pages for each week—an AM one and a PM one. At the beginning of the month, tutors enter their availability for each day,","What is one of the main advantages of a well-designed relational database?
",A well-designed relational database offers two major advantages: data integrity and flexibility. These benefits have contributed to its widespread use as the most common database model for the past 30 years,databases/db2.pdf,5,5
"Chapter 1 • Who Needs a Database 7
GETTING THE SCOPE 
 After Sharon leaves Terry’s office, she goes to one of the instructors, a professor named 
Bill Collins, from whom she hopes to get a recommendation. He is sitting in his office and smiles when he opens the door for her. “Come on in. How can I help you today?” She tells about her plan to tutor and asks for a recommendation. He says he will be happy to provide one. Then Sharon tells him about the possibility of making a database. 
 She says, “I’ve got a thousand ideas about how the database should look and what 
should be in it.”   
 Bill cautions her, “Be careful not to get ahead of yourself. You need to remember 
you are not making this database for yourself. You are making it for a client. You need to listen carefully to what Terry and the other people who will use the database say about what they need and not get trapped by preconceived notions. The first thing you need to do is get as clear an idea as possible about what the database is intended to do.” 
 “A statement of scope?”  “Yes, that would be a good place to start, but I would go farther and make a com-
plete statement of work. That would include the scope, but it would also contain some discussion of the background, the objectives of the project, and a tentative timeline. I have some samples I can share with you. Listen, if you need any help or advice on this project, feel free to ask me.” 
 “Thank you. Thank you very much.”    Caution 
 It is easy to get carried away with your own excitement about 
a database project. You may be able to see several possible solutions and want to start designing right away. But it is critically important that you delay designing until you have a clear idea of what the client wants and needs. Patience and the ability to listen are among the most important skills of a database developer. 
STATEMENT OF SCOPE
 A  statement of scope   is a short","What is a statement of scope in the context of a database project?
","In the context of a database project, a statement of scope is a document that outlines the purpose, objectives, and intended functionality of the database. It serves as a guide for the development process and helps ensure that the final product meets the needs of the client. It is crucial to create a statement of scope before beginning the design phase of the project to avoid being misguided by preconceived notions and to maintain a clear focus on the client's requirements",databases/db2.pdf,4,5
"STATEMENT OF SCOPE
 A  statement of scope   is a short 
statement of one or more paragraphs that says in clear, but general, terms what the project will do. A statement 
of work   is a more complete 
statement about the objectives and timeline of the project. Table 1-2 Some Relational Database Management Systems 
RDBMS Comments URL
ORACLE The biggest and the first commercial RDBMS. 
Powers many of the world’s largest companies http://www.Oracle.com
SQL Server Microsoft’s RDMS product. Ships in many versions designed for 
different company needs. Also powers many large enterprises http://www.microsoft.com/sql/default.mspx
DB2 IBM’s RDBMS  http://www306.ibm.com/software/data/db2/9/
MySQL The most popular open source RDBMS, currently owned by SUN  http://www.MySql.com
PostGres SQL Another free, open source RDBMS. It is older and some would 
say more powerful than MySQL http://www.postgresql.org/
ACCESS Microsoft’s desktop database  http://office.microsoft.com/en-us/access/default.
aspx?ofcresset=1
Things You Should Know 
Statement of Work 
A statement of work is a preliminary document that describes, in general, the work that needs to be done on a project. Often this is prepared by the people who want the work to be done and offered to contractors for bidding. But sometimes, as in this case, it can be used as an initial clarification of the task at hand. 
It is important to have something like a statement of work for any major project so that every-
one knows what is expected. Without it, people often find, sometimes late in the process, that differ-ent individuals have very different expectations about what the project should contain. A statement of work is also a good reference throughout the project to keep everyone on track and focused. The statement is preliminary and can be altered as the needs of the project change or grow. But, by","What is Microsoft's desktop database?
",Microsoft's desktop database is called ACCESS. It is a software product designed for managing small to medium data collections on a personal computer. You can find more information about it at <http://office.microsoft.com/en-us/access/default.aspx?ofcresset=1>,databases/db2.pdf,5,4
